title,image,Price,SKU,description
Black Embroidered Raw Silk Trousers TR-22-36,https://www.gulahmedshop.com/media/catalog/product/t/r/tr-22-36_black_2_.jpg?optimize=medium&fit=bounds&height=560&width=373,"1,719",W-AP-22-317311 -P,Indian raw silk trousers featuring embroidery in combination with organza work at the bottom. 
White Embroidered Raw Silk Trousers TR-22-36,https://www.gulahmedshop.com/media/catalog/product/t/r/tr-22-36_white_2_.jpg?optimize=medium&fit=bounds&height=560&width=373,"1,719",W-AP-22-317317 -P,Indian raw silk trousers featuring embroidery in combination with organza work at the bottom. 
Screen Printed Cambric Tulip Shalwar TR-21-98 A,https://www.gulahmedshop.com/media/catalog/product/t/r/tr-21-98_a_2_.jpg?optimize=medium&fit=bounds&height=560&width=373,"2,027",W-AP-22-295921 -P,
Black Embroidered Indian Raw Silk Trousers TR-21-116,https://www.gulahmedshop.com/media/catalog/product/t/r/tr-21-116_2_black.jpg?optimize=medium&fit=bounds&height=560&width=373,"2,212",W-AP-22-295676 -P,
Black Cambric Screen Printed Trousers TR-22-52,https://www.gulahmedshop.com/media/catalog/product/t/r/tr-22-52_black_3_.jpg?optimize=medium&fit=bounds&height=560&width=373,"1,535",W-AP-22-336798 -P,Screen printed cambric trousers. 
Black Screen Printed Embroidered Trousers TR-22-71,https://www.gulahmedshop.com/media/catalog/product/t/r/tr-22-71_black_2_.jpg?optimize=medium&fit=bounds&height=560&width=373,"1,843",W-AP-22-330798 -P,Black cambric trousers with screen print all over and embroidery work on the ends.
Off-White Screen Printed Embroidered Trousers TR-22-71,https://www.gulahmedshop.com/media/catalog/product/t/r/tr-22-71_off-white_2_.jpg?optimize=medium&fit=bounds&height=560&width=373,"1,843",W-AP-22-330810 -P,Off-White cambric trousers with screen print all over and embroidery work on the ends.
Black Embroidered Raw Silk Trousers TR-21-75,https://www.gulahmedshop.com/media/catalog/product/t/r/tr-21-75_black_2_.jpg?optimize=medium&fit=bounds&height=560&width=373,"1,781",W-AP-22-321572 -P,Black Indian raw silk trousers with embroidered motif on the ends.
Black Khaddar Embroidered Trousers TR-22-188,https://www.gulahmedshop.com/media/catalog/product/t/r/tr-22-188_black_2_.jpg?optimize=medium&fit=bounds&height=560&width=373,"1,587",W-AP-22-330546 -P,"Black khaddar trousers with pintex detailing, lace embellishment and white applique work."
Black Raw Silk Screen Printed Trousers TR-22-130,https://www.gulahmedshop.com/media/catalog/product/t/r/tr-22-130_black_2_.jpg?optimize=medium&fit=bounds&height=560&width=373,"1,382",W-AP-23-337812 -P,Black trousers in Raw Silk with floral screen print all over.
Black Dyed Raw Silk Embroidered Trousers TR-21-114,https://www.gulahmedshop.com/media/catalog/product/t/r/tr-21-114_black_2_.jpg?optimize=medium&fit=bounds&height=560&width=373,"1,895",W-AP-23-337714 -P,Black wide-legged raw silk trousers with organza embroidered lace
Off White Dyed Raw Silk Embroidered Trousers TR-21-115,https://www.gulahmedshop.com/media/catalog/product/t/r/tr-21-114_off-white_2_.jpg?optimize=medium&fit=bounds&height=560&width=373,"1,895",W-AP-23-337721 -P,Off-white wide-legged raw silk trousers with organza embroidered lace
